,loop_step,standard_dev,number_town_people,guac_20,guac_19,guac_18,guac_17,guac_16,guac_15,guac_14,guac_13,guac_12,guac_11,guac_10,guac_9,guac_8,guac_7,guac_6,guac_5,guac_4,guac_3,guac_2,guac_1
222,22,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
223,23,1,100,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,not_all_assigned
224,24,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true
225,25,1,100,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,not_all_assigned
226,26,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
227,27,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false
228,28,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
229,29,1,100,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
230,30,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
231,31,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false
232,32,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true
233,33,1,100,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true
234,34,1,100,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false
235,35,1,100,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,false,false
236,36,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true
237,37,1,100,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true
238,38,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
239,39,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
240,40,1,100,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
241,41,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,not_all_assigned
242,42,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true
243,43,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false
244,44,1,100,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false
245,45,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,not_all_assigned
246,46,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,not_all_assigned
247,47,1,100,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,false,false
248,48,1,100,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true
